,Stadium,Latitude,Longitude,Capacity,City,Surface,Roof Type,Team,Opened,Team Name
0,Acrisure Stadium,40.44666667,-80.01583333,"68,400","Pittsburgh, Pennsylvania",Kentucky bluegrass,Open,Pittsburgh Steelers,2001,Steelers
1,Allegiant Stadium,36.09055556,-115.1838889,"65,000","Paradise, Nevada",Bermuda grass,Fixed,Las Vegas Raiders,2020,Raiders
2,Arrowhead Stadium,39.04888889,-94.48388889,"76,416","Kansas City, Missouri",Bermuda grass,Open,Kansas City Chiefs,1972,Chiefs
3,AT&T Stadium,32.74777778,-97.09277778,"80,000","Arlington, Texas",Hellas Matrix Turf,Retractable,Dallas Cowboys,2009,Cowboys
4,Bank of America Stadium,35.22583333,-80.85277778,"74,867","Charlotte, North Carolina",FieldTurf,Open,Carolina Panthers,1996,Panthers
5,Caesars Superdome,29.95083333,-90.08111111,"73,208","New Orleans, Louisiana",FieldTurf Revolution 360[10],Fixed,New Orleans Saints,1975,Saints
6,Cleveland Browns Stadium,41.50611111,-81.69944444,"67,431","Cleveland, Ohio",Kentucky bluegrass,Open,Cleveland Browns,1999,Browns
7,Commanders Field,38.90777778,-76.86444444,"65,000","Landover, Maryland",Bermuda grass,Open,Washington Commanders,1997,Commanders
8,Empower Field at Mile High,39.74388889,-105.02,"76,125","Denver, Colorado",Kentucky bluegrass,Open,Denver Broncos,2001,Broncos
9,EverBank Stadium,30.32388889,-81.6375,"67,838","Jacksonville, Florida",Bermuda grass,Open,Jacksonville Jaguars,1995,Jaguars
10,Ford Field,42.34,-83.04555556,"65,000","Detroit, Michigan",FieldTurf CORE[18],Fixed,Detroit Lions,2002,Lions
11,Gillette Stadium,42.09111111,-71.26388889,"66,829","Foxborough, Massachusetts",FieldTurf CORE[10],Open,New England Patriots,2002,Patriots
12,Hard Rock Stadium,25.95805556,-80.23888889,"65,326","Miami Gardens, Florida",Bermuda grass,Open,Miami Dolphins,1987,Dolphins
13,Highmark Stadium,42.77388889,-78.78694444,"71,608","Orchard Park, New York",A-Turf Titan 50[22],Open,Buffalo Bills,1973,Bills
14,Lambeau Field,44.50138889,-88.06222222,"81,441","Green Bay, Wisconsin",Kentucky bluegrass reinforced with SIS Grass.[23],Open,Green Bay Packers,1957,Packers
15,Levi's Stadium,37.40305556,-121.97,"68,500","Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open,San Francisco 49ers,2014,49ers
16,Lincoln Financial Field,39.90083333,-75.1675,"69,596","Philadelphia, Pennsylvania",GrassMaster[26],Open,Philadelphia Eagles,2003,Eagles
17,Lucas Oil Stadium,39.76005556,-86.16380556,"67,000","Indianapolis, Indiana",Shaw Sports Momentum Pro,Retractable,Indianapolis Colts,2008,Colts
18,Lumen Field,47.59527778,-122.3316667,"69,000","Seattle, Washington",FieldTurf Revolution 360[10],Open,Seattle Seahawks,2002,Seahawks
19,M&T Bank Stadium,39.27805556,-76.62277778,"71,008","Baltimore, Maryland",Bermuda grass[30],Open,Baltimore Ravens,1998,Ravens
20,Mercedes-Benz Stadiumâ€¡,33.75555556,-84.4,"71,000","Atlanta, Georgia",FieldTurf Revolution[32],Retractable,Atlanta Falcons,2017,Falcons
21,MetLife Stadium,40.81352778,-74.07436111,"82,500","East Rutherford, New Jersey",FieldTurf Core[34],Open,New York Giants,2010,Giants
21,MetLife Stadium,40.81352778,-74.07436111,"82,500","East Rutherford, New Jersey",FieldTurf Core[34],Open,New York Jets,2010,Jets
22,Nissan Stadium,36.16638889,-86.77138889,"69,143","Nashville, Tennessee",Matrix Helix Turf with organic infill[36],Open,Tennessee Titans,1999,Titans
23,NRG Stadium,29.68472222,-95.41083333,"72,220","Houston, Texas",Hellas Matrix Turf[38],Retractable,Houston Texans,2002,Texans
24,Paycor Stadium,39.095,-84.51611111,"65,515","Cincinnati, Ohio",UBU Speed Series S5-M Synthetic Turf,Open,Cincinnati Bengals,2000,Bengals
25,Raymond James Stadium,27.97583333,-82.50333333,"69,218","Tampa, Florida",Bermuda grass,Open,Tampa Bay Buccaneers,1998,Buccaneers
26,SoFi Stadium,33.95305556,-118.3388889,"70,240","Inglewood, California",Hellas Matrix Turf,Fixed,Los Angeles Rams,2020,Rams
26,SoFi Stadium,33.95305556,-118.3388889,"70,240","Inglewood, California",Hellas Matrix Turf,Fixed,Los Angeles Chargers,2020,Chargers
27,Soldier Field,41.86222222,-87.61666667,"61,500","Chicago, Illinois",Bermuda grass[43],Open,Chicago Bears,1924[a],Bears
28,State Farm Stadium,33.52805556,-112.2630556,"63,400","Glendale, Arizona",Bermuda grass,Retractable,Arizona Cardinals,2006,Cardinals
29,U.S. Bank Stadium,44.97388889,-93.25805556,"66,655","Minneapolis, Minnesota",UBU Speed Series S5-M Synthetic Turf[46],Fixed,Minnesota Vikings,2016,Vikings